# index freq sideband ut ob j radius fwhm1 fwhm2 amp1 amp2 back rms asp_ratio el az wvm daz1 del1 daz2 del2
1 691.4736 1 20260112 00057 1 15.7735 28.8905253000144 0 1.0 0 0 3.22238568292658 1.13415 58.0293 280.85 0.0506182 0.00079 0.00005 0.000774 0.000059 
2 691.4726 1 20260112 00057 2 15.7735 28.7655962538064 0 1.0 0 0 3.22394281875214 1.13525 58.0293 280.85 0.0506182 0.00079 0.00004 0.000787 0.000061 
3 691.4716 1 20260112 00057 3 15.7735 28.4678593663926 0 1.0 0 0 3.3144927255132 1.13259 58.0293 280.85 0.0506182 0.00080 0.00008 0.000785 0.000079 
4 691.4706 1 20260112 00057 4 15.7735 28.7276588650722 0 1.0 0 0 3.42690572635954 1.13186 58.0293 280.85 0.0506182 0.00080 0.00005 0.000771 0.000068 
5 702.4726 2 20260112 00057 5 15.7735 28.5991430840692 0 1.0 0 -0.448876362386892 2.86701982989927 1.13823 58.0293 280.85 0.0506182 0.00077 0.00005 0.000763 0.000046 
6 702.4736 2 20260112 00057 6 15.7735 28.5562031377614 0 1.0 0 -0.441169058798677 2.87874087078155 1.13971 58.0293 280.85 0.0506182 0.00078 0.00008 0.000768 0.000072 
7 702.4745 2 20260112 00057 7 15.7735 27.9351012036737 0 1.0 0 -0.410544744300776 3.26903779018097 1.20505 58.0293 280.85 0.0506182 0.00076 -0.000011 0.000757 0.000002 
8 702.4755 2 20260112 00057 8 15.7735 28.5772961764427 0 1.0 0 -0.48464264644308 3.04391150811034 1.13631 58.0293 280.85 0.0506182 0.00078 0.00005 0.000765 0.000036 
