    6.08900E+02    1.17264E+00    3.09548E-01
    6.09000E+02    1.17228E+00    3.09659E-01
    6.09100E+02    1.17334E+00    3.09332E-01
    6.09200E+02    1.17302E+00    3.09432E-01
    6.09300E+02    1.17472E+00    3.08905E-01
    6.09400E+02    1.17871E+00    3.07677E-01
    6.09500E+02    1.18747E+00    3.04991E-01
    6.09600E+02    1.21257E+00    2.97431E-01
    6.09700E+02    1.35303E+00    2.58456E-01
    6.09800E+02    1.26508E+00    2.82216E-01
    6.09900E+02    1.20969E+00    2.98289E-01
    6.10000E+02    1.20464E+00    2.99799E-01
    6.10100E+02    1.22180E+00    2.94698E-01
    6.10200E+02    1.29205E+00    2.74707E-01
    6.10300E+02    1.47143E+00    2.29596E-01
    6.10400E+02    1.56709E+00    2.08651E-01
    6.10500E+02    1.26966E+00    2.80926E-01
    6.10600E+02    1.21143E+00    2.97771E-01
    6.10700E+02    1.19081E+00    3.03975E-01
    6.10800E+02    1.18342E+00    3.06230E-01
    6.10900E+02    1.18132E+00    3.06875E-01
    6.11000E+02    1.18712E+00    3.05098E-01
    6.11100E+02    1.20799E+00    2.98796E-01
    6.11200E+02    1.29067E+00    2.75087E-01
    6.11300E+02    1.49303E+00    2.24691E-01
    6.11400E+02    1.23305E+00    2.91403E-01
    6.11500E+02    1.18943E+00    3.04394E-01
    6.11600E+02    1.17405E+00    3.09113E-01
    6.11700E+02    1.16697E+00    3.11308E-01
    6.11800E+02    1.16273E+00    3.12630E-01
    6.11900E+02    1.16061E+00    3.13295E-01
    6.12000E+02    1.15971E+00    3.13576E-01
    6.12100E+02    1.15920E+00    3.13738E-01
    6.12200E+02    1.15945E+00    3.13660E-01
    6.12300E+02    1.16080E+00    3.13234E-01
    6.12400E+02    1.16659E+00    3.11428E-01
    6.12500E+02    1.16208E+00    3.12836E-01
    6.12600E+02    1.16274E+00    3.12627E-01
    6.12700E+02    1.16407E+00    3.12212E-01
    6.12800E+02    1.16573E+00    3.11696E-01
    6.12900E+02    1.16775E+00    3.11065E-01
    6.13000E+02    1.17023E+00    3.10297E-01
    6.13100E+02    1.17225E+00    3.09669E-01
    6.13200E+02    1.17474E+00    3.08899E-01
    6.13300E+02    1.17757E+00    3.08025E-01
    6.13400E+02    1.18063E+00    3.07084E-01
    6.13500E+02    1.18396E+00    3.06064E-01
    6.13600E+02    1.18759E+00    3.04955E-01
    6.13700E+02    1.19152E+00    3.03758E-01
    6.13800E+02    1.19576E+00    3.02475E-01
    6.13900E+02    1.20035E+00    3.01089E-01
